epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0005000000237487257,0.024209147319197655,0.11880721896886826,0.08223212510347366,0.2570664584636688
1,0.0005000000237487257,0.016173038631677628,0.09756364673376083,0.05590008199214935,0.2112259566783905
2,0.0005000000237487257,0.012452857568860054,0.08609895408153534,0.027679933235049248,0.14776715636253357
3,0.0005000000237487257,0.009653395973145962,0.07596201449632645,0.015738975256681442,0.10906986892223358
4,0.0005000000237487257,0.007981337606906891,0.06990700960159302,0.011582874692976475,0.09301592409610748
5,0.0005000000237487257,0.007314328569918871,0.0670185461640358,0.010776476934552193,0.09007742255926132
6,0.0005000000237487257,0.007090314757078886,0.06608337163925171,0.011374671943485737,0.09361141175031662
7,0.0005000000237487257,0.006898286286741495,0.0652378499507904,0.011120912618935108,0.09251344203948975
8,0.0005000000237487257,0.006749593187123537,0.06450778990983963,0.010840540751814842,0.09134680777788162
9,0.0005000000237487257,0.006698109675198793,0.06423161923885345,0.011195739731192589,0.09332764893770218
10,0.0005000000237487257,0.006644925568252802,0.06405627727508545,0.011494810692965984,0.09494394063949585
11,0.0005000000237487257,0.0066230203956365585,0.06392160058021545,0.009985334239900112,0.08729229122400284
12,0.0005000000237487257,0.006561922375112772,0.06362193822860718,0.010898257605731487,0.09229398518800735
13,0.0005000000237487257,0.00653041573241353,0.06340938061475754,0.010511084459722042,0.09050138294696808
14,0.0005000000237487257,0.006494835484772921,0.06324341148138046,0.010621431283652782,0.09105634689331055
15,0.0005000000237487257,0.0064830780029296875,0.06324534863233566,0.009667985141277313,0.08603569120168686
16,0.0005000000237487257,0.0064210607670247555,0.0629565417766571,0.00965263694524765,0.0859300047159195
17,0.0005000000237487257,0.006422827020287514,0.06285783648490906,0.009457848966121674,0.08477853983640671
18,0.0005000000237487257,0.0063788145780563354,0.06266212463378906,0.00888911448419094,0.08129094541072845
19,0.0005000000237487257,0.006360187660902739,0.06262603402137756,0.008750611916184425,0.08050798624753952
20,0.0005000000237487257,0.006319846026599407,0.06236409395933151,0.008745585568249226,0.08043412119150162
21,0.0005000000237487257,0.006292605772614479,0.06222745403647423,0.008363697677850723,0.07797924429178238
22,0.0005000000237487257,0.006287352181971073,0.06227048113942146,0.00868941005319357,0.07996279746294022
23,0.0005000000237487257,0.0062552206218242645,0.062113113701343536,0.008327649906277657,0.07735367119312286
24,0.0005000000237487257,0.0062420545145869255,0.0620516799390316,0.007964828051626682,0.07502137124538422
25,0.0005000000237487257,0.006217895075678825,0.0618983656167984,0.00808844156563282,0.07537147402763367
26,0.0005000000237487257,0.006181278266012669,0.06173300743103027,0.007961826398968697,0.07434624433517456
27,0.0005000000237487257,0.006169362459331751,0.06171712651848793,0.008045869879424572,0.07483205944299698
28,0.0005000000237487257,0.006163600366562605,0.06167875975370407,0.007717860396951437,0.0724395215511322
29,0.0005000000237487257,0.0061372448690235615,0.06149302423000336,0.007910802029073238,0.0737307146191597
30,0.0005000000237487257,0.006122941616922617,0.06147301197052002,0.007642283104360104,0.071578249335289
31,0.0005000000237487257,0.006126956548541784,0.061462949961423874,0.007721367292106152,0.07219398766756058
32,0.0005000000237487257,0.0061123063787817955,0.0614054836332798,0.007715605664998293,0.07200068980455399
33,0.0005000000237487257,0.006120288744568825,0.0615372508764267,0.0075607881881296635,0.07038135081529617
34,0.0005000000237487257,0.006086679175496101,0.0612952895462513,0.007459679618477821,0.06974658370018005
